Id,PROPN,CCONJ,VERB,NOUN,ADP,DET,PUNCT,SPACE,Tag
,40.0,,8.0,,8.0,,8.0,,
,64.0,,32.0,48.0,40.0,32.0,32.0,,
,8.0,,,8.0,8.0,8.0,8.0,,
,16.0,8.0,32.0,64.0,64.0,16.0,24.0,,
,8.0,8.0,32.0,48.0,24.0,32.0,8.0,,
,40.0,8.0,,,16.0,8.0,24.0,,
,8.0,8.0,24.0,72.0,64.0,24.0,8.0,8.0,
,,,,,,,,,
,40.0,,10.0,20.0,30.0,,,10.0,
,110.0,10.0,40.0,90.0,60.0,40.0,30.0,,
,60.0,10.0,30.0,30.0,,30.0,50.0,,
,30.0,,20.0,50.0,30.0,10.0,40.0,,
,20.0,,,,,,,20.0,
,10.0,,10.0,40.0,40.0,10.0,10.0,,
,40.0,,30.0,60.0,60.0,10.0,70.0,,
,10.0,,10.0,50.0,40.0,10.0,20.0,,
,,,,,,,,10.0,
,36.0,,12.0,24.0,12.0,12.0,24.0,12.0,
,60.0,,48.0,96.0,96.0,48.0,36.0,,
,,,48.0,60.0,24.0,24.0,36.0,12.0,
,24.0,12.0,48.0,36.0,12.0,36.0,12.0,,
,12.0,,24.0,24.0,12.0,24.0,24.0,,
,,,,12.0,,12.0,12.0,,
,,,12.0,,,,12.0,,
,60.0,,24.0,36.0,12.0,24.0,48.0,12.0,
,,,,,,,,12.0,
,12.0,,24.0,12.0,,12.0,36.0,,
,,,12.0,,,,12.0,,
,,,,,,,,12.0,
,66.0,,24.0,24.0,36.0,6.0,30.0,,
,24.0,,12.0,18.0,30.0,6.0,18.0,,
,12.0,12.0,18.0,42.0,42.0,12.0,6.0,,
,6.0,,12.0,24.0,18.0,18.0,12.0,,
,30.0,,12.0,36.0,54.0,18.0,24.0,,
,6.0,6.0,18.0,6.0,6.0,6.0,,6.0,
,48.0,16.0,16.0,32.0,48.0,,16.0,,
,,,16.0,16.0,,16.0,16.0,,
,128.0,,32.0,32.0,32.0,48.0,32.0,16.0,
,,,,,,,,16.0,
,32.0,16.0,16.0,80.0,96.0,16.0,32.0,,
,,,16.0,,,,16.0,,
,,16.0,112.0,80.0,32.0,80.0,48.0,32.0,
,,,16.0,16.0,,,32.0,,
,32.0,,48.0,64.0,48.0,16.0,32.0,,
